Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Greece,GRC,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,85290
Greece,GRC,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,86700
Greece,GRC,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,87820
Greece,GRC,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,89850
Greece,GRC,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,91720
Greece,GRC,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,91640
Greece,GRC,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,91700
Greece,GRC,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Greece,GRC,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,91670
Greece,GRC,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,91640
Greece,GRC,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,92220
Greece,GRC,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,92150
Greece,GRC,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,91790
Greece,GRC,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,91770
Greece,GRC,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,91800
Greece,GRC,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,91840
Greece,GRC,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,92090
Greece,GRC,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,91820
Greece,GRC,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,92060
Greece,GRC,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,92060
Greece,GRC,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,91800
Greece,GRC,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,91810
Greece,GRC,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,91750
Greece,GRC,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,91120
Greece,GRC,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,91150
Greece,GRC,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,91180
Greece,GRC,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,91410
Greece,GRC,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,91430
Greece,GRC,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Greece,GRC,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,91550
Greece,GRC,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,91550
Greece,GRC,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,91440
Greece,GRC,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,91430
Greece,GRC,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,91130
Greece,GRC,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,90900
Greece,GRC,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,86780
Greece,GRC,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,89910
Greece,GRC,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,90210
Greece,GRC,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,89020
Greece,GRC,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,89100
Greece,GRC,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.3514352211016
Greece,GRC,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.3390224980605
Greece,GRC,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,47.6027928626843
Greece,GRC,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.0915438324282
Greece,GRC,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.1070597362296
Greece,GRC,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.4926299456943
Greece,GRC,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.5011636927851
Greece,GRC,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.377812257564
Greece,GRC,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.0993017843289
Greece,GRC,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.6501163692785
Greece,GRC,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.4026377036462
Greece,GRC,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.1474010861133
Greece,GRC,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0007757951901
Greece,GRC,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.1024049650892
Greece,GRC,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.6842513576416
Greece,GRC,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.0186190845617
Greece,GRC,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7245927075252
Greece,GRC,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.4615981380915
Greece,GRC,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.1675717610551
Greece,GRC,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.2614429790535
Greece,GRC,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.1303335919317
Greece,GRC,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.7051978277735
Greece,GRC,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.155934833204
Greece,GRC,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0938712179985
Greece,GRC,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1404189294026
Greece,GRC,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0628394103957
Greece,GRC,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1171450737005
Greece,GRC,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.0938712179985
Greece,GRC,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.5438324282389
Greece,GRC,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.4895267649341
Greece,GRC,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2102404965089
Greece,GRC,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.1947245927075
Greece,GRC,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,71.2179984484096
